What is your age?,What is your gender?  ,What is your occupation?  ,Does any member of your family or a close acquaintance live abroad?,Have you decided to move abroad?,How long do you plan to stay abroad?,Are you aware of any specific migration programs or scholarships available for students or workers abroad?  ,What role do social media and online success stories play in influencing your decision to move abroad?,Who or what influences your decision to move abroad? (Multiple options can be selected),Which countries are you most interested in moving to?,How much psychological stress or anxiety have you experienced while considering moving abroad?  ,What is your primary goal for considering moving abroad? (Multiple options can be selected),What kind of psychological stress have you experienced while planning to move abroad? (Multiple options can be selected) ,How do you cope with the stress of planning to move abroad?,Do you think migration trends have increased among Bangladeshi youth in the last 5 years?,What do you think is the biggest barrier to migrating abroad? (Multiple options can be selected),Do you think you will return to Bangladesh in the future after living abroad?,Do you think your decision to move abroad will impact your family or community in Bangladesh?,Do you feel that the government of Bangladesh offers enough support for youth planning to migrate abroad?  ,Do you feel a sense of responsibility towards your family while planning to move abroad?,"How likely are you to recommend going abroad to others in your age group? (Rate on a scale of 1 to 5, where 1 is very unlikely and 5 is very likely)."
40 or above,Female,Unemployed,No,Not sure yet,Less than 1 year,No,No role at all,Career mentors or teachers;Personal research and aspirations;Social media and online success stories,"Middle East (e.g., UAE, Saudi Arabia)",Often,Desire for independence;Political stability;Healthcare,Separation from family;Visa or immigration concerns;Social acceptance,Other,I’m not sure,Job information or experience;Family pressure or support;Financial issues,Yes,Positive impact,Not Sure,Maybe,1
40 or above,Female,Freelancer,Yes,No,Permanently,No,A moderate role,Friends or peer influence;Personal research and aspirations;Family pressure or support,"Europe (e.g., Germany, Sweden)",Sometimes,Economic opportunities;Desire for independence;Better living standards,Visa or immigration concerns;Separation from family;Language barriers,Talking to family and friends,Yes,Job information or experience;Visa or immigration process;Family pressure or support,Not sure,Not sure,Not Sure,Yes,5
25-30,Male,Student,Yes,Not sure yet,Less than 1 year,Yes,No role at all,Career mentors or teachers;Social media and online success stories;Friends or peer influence,"Middle East (e.g., UAE, Saudi Arabia)",Often,Healthcare;Higher education;Better living standards,Separation from family;Visa or immigration concerns;Social acceptance,Talking to family and friends,Yes,All country Embassy is not in Bangladesh;Job information or experience;Visa or immigration process,No,Not sure,No,Yes,5
31-40,Male,Other,No,Yes,Less than 1 year,Maybe,No role at all,Personal research and aspirations;Social media and online success stories;Family pressure or support,Canada,Never,Political stability;Desire for independence;Better job opportunities,Separation from family;Visa or immigration concerns;Language barriers,Hobbies or physical exercise,Yes,All country Embassy is not in Bangladesh;Financial issues;Job information or experience,Yes,Not sure,Yes,Yes,5
40 or above,Male,Freelancer,Yes,Yes,Permanently,No,A moderate role,Career mentors or teachers;Personal research and aspirations;Social media and online success stories,Australia,Never,Political stability;Economic opportunities;Healthcare,Nothing,Joining online forums,Yes,Family pressure or support;All country Embassy is not in Bangladesh;Job information or experience,Not sure,No impact,No,No,5
18-24,Male,Student,Yes,No,Less than 1 year,No,A significant role,Personal research and aspirations;Friends or peer influence;Career mentors or teachers,UK,Sometimes,Healthcare;Political stability;Better job opportunities,Separation from family;Visa or immigration concerns;Social acceptance,Professional counseling,No,Family pressure or support;All country Embassy is not in Bangladesh;Visa or immigration process,Yes,Negative impact,No,Maybe,4
18-24,Female,Student,Yes,Not sure yet,1-2 years,Maybe,A minor role,Career mentors or teachers;Friends or peer influence;Personal research and aspirations,USA,Always,Better job opportunities;Desire for independence;Healthcare,Nothing,Other,I’m not sure,Family pressure or support;Educational qualification;Job information or experience,Not sure,Negative impact,Not Sure,No,2
31-40,Female,Unemployed,Yes,Not sure yet,3-5 years,Yes,A significant role,Personal research and aspirations;Friends or peer influence;Family pressure or support,Australia,Never,Political stability;Healthcare;Better living standards,Visa or immigration concerns;Separation from family;Job uncertainty,Professional counseling,No,Financial issues;Job information or experience;Family pressure or support,Yes,Not sure,Not Sure,Yes,5
18-24,Male,Student,Yes,Yes,Less than 1 year,No,A minor role,Family pressure or support;Personal research and aspirations;Friends or peer influence,"Middle East (e.g., UAE, Saudi Arabia)",Often,Economic opportunities;Higher education;Healthcare,Separation from family;Visa or immigration concerns;Language barriers,Professional counseling,No change,Educational qualification;Visa or immigration process;All country Embassy is not in Bangladesh,Not sure,Positive impact,Yes,Yes,4
31-40,Male,Freelancer,No,No,3-5 years,No,A significant role,Career mentors or teachers;Friends or peer influence;Personal research and aspirations,Canada,Sometimes,Economic opportunities;Healthcare;Political stability,Separation from family;Visa or immigration concerns;Job uncertainty,Talking to family and friends,I’m not sure,Job information or experience;Financial issues;All country Embassy is not in Bangladesh,No,No impact,Not Sure,No,2
18-24,Male,Self-employed,No,No,Less than 1 year,Yes,No role at all,Family pressure or support;Social media and online success stories;Career mentors or teachers,Australia,Sometimes,Better job opportunities;Desire for independence;Healthcare,Visa or immigration concerns;Separation from family;Job uncertainty,Other,I’m not sure,Job information or experience;All country Embassy is not in Bangladesh;Family pressure or support,Not sure,Positive impact,Yes,No,4
18-24,Male,Student,Yes,No,Less than 1 year,Yes,A significant role,Personal research and aspirations;Social media and online success stories;Friends or peer influence,"Europe (e.g., Germany, Sweden)",Always,Economic opportunities;Better job opportunities;Higher education,Visa or immigration concerns;Separation from family;Cultural shock,Professional counseling,I’m not sure,Educational qualification;Family pressure or support;Job information or experience,Yes,No impact,No,Yes,4
31-40,Female,Freelancer,No,No,Permanently,No,A significant role,Social media and online success stories;Family pressure or support;Career mentors or teachers,"Europe (e.g., Germany, Sweden)",Often,Better job opportunities;Better living standards;Political stability,Separation from family;Visa or immigration concerns;Cultural shock,Other,I’m not sure,Visa or immigration process;Financial issues;Job information or experience,No,Positive impact,No,No,1
31-40,Male,Employed,No,Yes,1-2 years,No,A significant role,Social media and online success stories;Career mentors or teachers;Personal research and aspirations,"Middle East (e.g., UAE, Saudi Arabia)",Rarely,Better living standards;Better job opportunities;Higher education,Separation from family;Visa or immigration concerns;Cultural shock,Hobbies or physical exercise,Yes,Job information or experience;Educational qualification;Financial issues,Not sure,Not sure,Yes,Yes,5
18-24,Female,Self-employed,Yes,No,Less than 1 year,Yes,A moderate role,Family pressure or support;Friends or peer influence;Career mentors or teachers,"Middle East (e.g., UAE, Saudi Arabia)",Rarely,Better job opportunities;Better living standards;Healthcare,Separation from family;Visa or immigration concerns;Language barriers,Other,I’m not sure,Visa or immigration process;Financial issues;All country Embassy is not in Bangladesh,Not sure,No impact,Not Sure,No,3
18-24,Male,Student,No,Not sure yet,3-5 years,No,A moderate role,Friends or peer influence;Family pressure or support;Personal research and aspirations,Canada,Sometimes,Healthcare;Political stability;Economic opportunities,Separation from family;Visa or immigration concerns;Job uncertainty,Other,Yes,Job information or experience;Financial issues;Visa or immigration process,No,No impact,No,Yes,2
18-24,Male,Unemployed,Yes,No,Permanently,No,A significant role,Career mentors or teachers;Social media and online success stories;Friends or peer influence,"Europe (e.g., Germany, Sweden)",Sometimes,Economic opportunities;Higher education;Political stability,Visa or immigration concerns;Separation from family;Job uncertainty,Talking to family and friends,No,Financial issues;Visa or immigration process;Educational qualification,Yes,Not sure,No,Maybe,5
40 or above,Male,Freelancer,Yes,No,Less than 1 year,Yes,No role at all,Family pressure or support;Career mentors or teachers;Social media and online success stories,"Europe (e.g., Germany, Sweden)",Often,Political stability;Economic opportunities;Better job opportunities,Visa or immigration concerns;Separation from family;Social acceptance,Hobbies or physical exercise,Yes,Job information or experience;Visa or immigration process;Family pressure or support,Not sure,Positive impact,Yes,Maybe,4
18-24,Male,Student,No,Yes,1-2 years,No,A significant role,Friends or peer influence;Career mentors or teachers;Social media and online success stories,UK,Sometimes,Economic opportunities;Higher education;Healthcare,Separation from family;Visa or immigration concerns;Social acceptance,Professional counseling,No,All country Embassy is not in Bangladesh;Educational qualification;Family pressure or support,Not sure,Positive impact,No,Maybe,5
18-24,Male,Employed,Yes,No,Less than 1 year,No,A moderate role,Social media and online success stories;Career mentors or teachers;Friends or peer influence,Canada,Sometimes,Healthcare;Higher education;Political stability,Visa or immigration concerns;Separation from family;Cultural shock,Hobbies or physical exercise,No change,Visa or immigration process;Family pressure or support;All country Embassy is not in Bangladesh,No,Positive impact,Not Sure,Yes,5
18-24,Male,Student,Yes,Yes,1-2 years,No,No role at all,Personal research and aspirations;Career mentors or teachers;Friends or peer influence,USA,Often,Better living standards;Political stability;Economic opportunities,Visa or immigration concerns;Separation from family;Language barriers,Hobbies or physical exercise,Yes,All country Embassy is not in Bangladesh;Financial issues;Family pressure or support,Yes,Negative impact,Yes,No,5
25-30,Male,Freelancer,No,No,Permanently,Maybe,A significant role,Friends or peer influence;Social media and online success stories;Career mentors or teachers,"Europe (e.g., Germany, Sweden)",Always,Desire for independence;Political stability;Higher education,Visa or immigration concerns;Separation from family;Language barriers,Hobbies or physical exercise,Yes,Visa or immigration process;Educational qualification;Job information or experience,Not sure,Positive impact,No,Yes,4
31-40,Male,Employed,Yes,Not sure yet,3-5 years,Maybe,No role at all,Friends or peer influence;Career mentors or teachers;Personal research and aspirations,Australia,Always,Higher education;Desire for independence;Economic opportunities,Visa or immigration concerns;Separation from family;Language barriers,Other,I’m not sure,Educational qualification;Financial issues;Visa or immigration process,Not sure,Not sure,No,No,3
